,new_cases,china new cases
2020-09-23 00:00:00,3,22
2020-09-24 00:00:00,7,28
2020-09-25 00:00:00,2,32
2020-09-26 00:00:00,1,44
2020-09-27 00:00:00,6,42
2020-09-28 00:00:00,10,26
2020-09-29 00:00:00,4,43
2020-09-30 00:00:00,8,29
2020-10-01 00:00:00,10,22
2020-10-02 00:00:00,7,42
2020-10-03 00:00:00,4,27
2020-10-04 00:00:00,5,41
2020-10-05 00:00:00,11,39
2020-10-06 00:00:00,8,37
2020-10-07 00:00:00,11,29
2020-10-08 00:00:00,18,28
2020-10-09 00:00:00,8,30
2020-10-10 00:00:00,6,60
2020-10-11 00:00:00,7,48
2020-10-12 00:00:00,11,38
2020-10-13 00:00:00,8,33
2020-10-14 00:00:00,0,22
2020-10-15 00:00:00,12,45
2020-10-16 00:00:00,7,21
2020-10-17 00:00:00,17,23
2020-10-18 00:00:00,4,47
2020-10-19 00:00:00,15,52
2020-10-20 00:00:00,5,33
2020-10-21 00:00:00,8,26
2020-10-22 00:00:00,11,42
2020-10-23 00:00:00,4,39
2020-10-24 00:00:00,5,40
2020-10-25 00:00:00,6,35
2020-10-26 00:00:00,8,175
2020-10-27 00:00:00,5,90
2020-10-28 00:00:00,2,61
2020-10-29 00:00:00,3,17
2020-10-30 00:00:00,7,86
2020-10-31 00:00:00,3,53
2020-11-01 00:00:00,7,90
2020-11-02 00:00:00,6,77
2020-11-03 00:00:00,9,69
2020-11-04 00:00:00,3,151
2020-11-05 00:00:00,7,50
2020-11-06 00:00:00,6,56
2020-11-07 00:00:00,3,53
2020-11-08 00:00:00,10,66
2020-11-09 00:00:00,6,30
2020-11-10 00:00:00,9,41
2020-11-11 00:00:00,18,28
2020-11-12 00:00:00,23,9
2020-11-13 00:00:00,6,32
2020-11-14 00:00:00,8,19
2020-11-15 00:00:00,14,10
2020-11-16 00:00:00,8,27
2020-11-17 00:00:00,4,18
2020-11-18 00:00:00,9,15
2020-11-19 00:00:00,12,23
2020-11-20 00:00:00,26,29
2020-11-21 00:00:00,43,35
2020-11-22 00:00:00,68,21
2020-11-23 00:00:00,73,31
2020-11-24 00:00:00,80,7
2020-11-25 00:00:00,85,26
2020-11-26 00:00:00,81,6
2020-11-27 00:00:00,92,14
2020-11-28 00:00:00,84,14
2020-11-29 00:00:00,115,27
2020-11-30 00:00:00,76,27
2020-12-01 00:00:00,82,9
2020-12-02 00:00:00,103,19
2020-12-03 00:00:00,90,22
2020-12-04 00:00:00,112,27
2020-12-05 00:00:00,101,29
